
2024/03/05 (22:59:01) | ===> btop++ v.1.3.2
2024/03/05 (22:59:01) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/03/06 (21:12:41) | ERROR: Stall in Runner thread, restarting!
2024/03/06 (21:12:49) | ERROR: Stall in Runner thread, restarting!
2024/03/06 (23:52:04) | ERROR: Stall in Runner thread, restarting!
2024/03/07 (00:27:23) | ERROR: Stall in Runner thread, restarting!
2024/03/07 (00:43:55) | ERROR: Stall in Runner thread, restarting!
2024/03/07 (01:38:24) | ERROR: Stall in Runner thread, restarting!
2024/03/07 (03:24:33) | ERROR: Stall in Runner thread, restarting!
2024/03/07 (12:13:27) | ERROR: Stall in Runner thread, restarting!
2024/03/07 (20:09:28) | ERROR: Stall in Runner thread, restarting!
2024/03/08 (18:27:47) | ERROR: Stall in Runner thread, restarting!
2024/03/08 (18:27:53) | ERROR: Stall in Runner thread, restarting!
2024/03/08 (18:27:59) | ERROR: Stall in Runner thread, restarting!
